date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:35	116/116	---MC-	200	added ('OK')	text/plain	date:Thu,%2006%20Apr%202023%2019:07:35%20GMT	https://cds.iitgn.ac.in/robots.txt		(from )
00:37:36	167581/167581	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Apr%202023%2019:07:35%20GMT	https://cds.iitgn.ac.in/	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/index.html	(from )
00:37:37	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2006%20Apr%202023%2019:07:37%20GMT	https://cds.iitgn.ac.in/xmlrpc.php	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/xmlrpc.php	(from https://cds.iitgn.ac.in/)
00:37:38	16466/16466	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202022%2005:01:33%20GMT	https://cds.iitgn.ac.in/wp-content/plugins/wp-carousel-free/public/css/swiper-bundle.min.css?ver=2.4.12	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/wp-content/plugins/wp-carousel-free/public/css/swiper-bundle.min18f6.css	(from https://cds.iitgn.ac.in/)
00:37:39	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202022%2005:01:33%20GMT	https://cds.iitgn.ac.in/wp-content/plugins/wp-carousel-free/public/css/font-awesome.min.css?ver=2.4.12	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/wp-content/plugins/wp-carousel-free/public/css/font-awesome.min18f6.css	(from https://cds.iitgn.ac.in/)
00:37:39	1636/1636	---MC-	200	added ('OK')	application/rss+xml	etag:%22139a906cd604f96d9bd7f737e98c4bcf%22	https://cds.iitgn.ac.in/comments/feed/	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/comments/feed/index.html	(from https://cds.iitgn.ac.in/)
00:37:39	4456/4456	---MC-	200	added ('OK')	application/rss+xml	etag:%22139a906cd604f96d9bd7f737e98c4bcf%22	https://cds.iitgn.ac.in/feed/	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/feed/index.html	(from https://cds.iitgn.ac.in/)
00:37:40	8589/8589	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202022%2005:01:33%20GMT	https://cds.iitgn.ac.in/wp-content/plugins/wp-carousel-free/public/css/wp-carousel-free-public.min.css?ver=2.4.12	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/wp-content/plugins/wp-carousel-free/public/css/wp-carousel-free-public.min18f6.css	(from https://cds.iitgn.ac.in/)
00:37:41	7277/7277	---M--	200	added ('OK')	text/css	date:Wed,%2029%20May%202019%2004:40:50%20GMT	https://cds.iitgn.ac.in/wp-content/plugins/divi-100-back-to-top/assets/css/style.css?ver=20160602	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/wp-content/plugins/divi-100-back-to-top/assets/css/styleeb35.css	(from https://cds.iitgn.ac.in/)
00:37:41	9427/9427	---M--	200	added ('OK')	image/gif	date:Thu,%2029%20Sep%202022%2005:01:58%20GMT	https://cds.iitgn.ac.in/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/CDS/cds.iitgn.ac.in/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://cds.iitgn.ac.in/)
